t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,u0,u1,u2,u3,primal_residual,dual_residual
0.063,2.44224e-05,-5.84647e-08,-0.000960172,3.9683e-05,0.00298052,0.000454499,0.00140214,-7.8003e-06,-0.0264646,0.00468624,0.105743,0.0197356,0.661408,0.617605,0.648265,0.630177,0,0
0.064,2.5852e-05,-6.66313e-08,-0.000986741,4.20625e-05,0.00303293,0.000464347,0.00145715,-8.54007e-06,-0.0266734,0.00480964,0.103916,0.0196759,0.661994,0.617872,0.648742,0.630531,0,0
0.065,2.73371e-05,-7.55597e-08,-0.00101352,4.45031e-05,0.00308442,0.000474164,0.0015131,-9.32404e-06,-0.0268755,0.00492916,0.102043,0.0196114,0.662567,0.618147,0.649213,0.630886,0,0
0.066,2.88785e-05,-8.52946e-08,-0.00104049,4.70028e-05,0.00313497,0.000483947,0.00156997,-1.01534e-05,-0.0270709,0.00504455,0.100129,0.0195426,0.663127,0.618431,0.649678,0.631243,0,0
0.067,3.04773e-05,-9.5882e-08,-0.00106765,4.95594e-05,0.00318455,0.000493694,0.00162774,-1.10291e-05,-0.0272598,0.0051556,0.0981759,0.0194699,0.663673,0.618722,0.650137,0.631601,0,0
0.068,3.21343e-05,-1.07369e-07,-0.00109501,5.21708e-05,0.00323314,0.000503404,0.00168639,-1.19523e-05,-0.0274421,0.0052621,0.0961887,0.0193936,0.664206,0.619022,0.650589,0.631959,0,0
0.069,3.38504e-05,-1.19803e-07,-0.00112254,5.48346e-05,0.00328073,0.000513075,0.00174591,-1.29239e-05,-0.0276178,0.00536384,0.0941705,0.0193141,0.664727,0.619329,0.651034,0.632318,0,0
0.07,3.56264e-05,-1.33233e-07,-0.00115024,5.75485e-05,0.0033273,0.000522706,0.00180626,-1.3945e-05,-0.0277872,0.00546065,0.0921249,0.0192316,0.665234,0.619643,0.651473,0.632678,0,0
0.071,3.74632e-05,-1.4771e-07,-0.00117811,6.03099e-05,0.00337285,0.000532294,0.00186744,-1.50163e-05,-0.0279502,0.00555237,0.0900554,0.0191464,0.665729,0.619964,0.651906,0.633038,0,0
0.072,3.93616e-05,-1.63283e-07,-0.00120614,6.31162e-05,0.00341736,0.000541838,0.00192943,-1.61389e-05,-0.0281069,0.00563885,0.0879653,0.019059,0.666211,0.620291,0.652332,0.633398,0,0
0.073,4.13223e-05,-1.80005e-07,-0.00123432,6.59649e-05,0.00346081,0.000551339,0.00199219,-1.73134e-05,-0.0282573,0.00571994,0.0858579,0.0189696,0.666681,0.620624,0.652752,0.633757,0,0
0.074,4.33462e-05,-1.97927e-07,-0.00126265,6.88531e-05,0.00350321,0.000560793,0.00205571,-1.85406e-05,-0.0284015,0.0057955,0.0837364,0.0188784,0.667138,0.620962,0.653166,0.634116,0,0
0.075,4.5434e-05,-2.17104e-07,-0.00129112,7.17782e-05,0.00354455,0.000570202,0.00211998,-1.98214e-05,-0.0285396,0.00586542,0.0816039,0.0187859,0.667584,0.621306,0.653574,0.634475,0,0
0.076,4.75864e-05,-2.37588e-07,-0.00131972,7.47372e-05,0.00358482,0.000579564,0.00218496,-2.11562e-05,-0.0286716,0.00592961,0.0794635,0.0186921,0.668018,0.621654,0.653975,0.634833,0,0
0.077,4.98041e-05,-2.59435e-07,-0.00134846,7.77273e-05,0.00362402,0.000588879,0.00225064,-2.25457e-05,-0.0287977,0.00598799,0.0773181,0.0185974,0.66844,0.622007,0.65437,0.635189,0,0
0.078,5.20879e-05,-2.82698e-07,-0.00137732,8.07456e-05,0.00366214,0.000598146,0.00231699,-2.39904e-05,-0.0289178,0.00604047,0.0751704,0.0185021,0.668851,0.622364,0.654759,0.635545,0,0
0.079,5.44384e-05,-3.07434e-07,-0.00140629,8.37891e-05,0.00369919,0.000607365,0.00238401,-2.54908e-05,-0.0290321,0.00608701,0.0730233,0.0184064,0.66925,0.622724,0.655142,0.635899,0,0
0.08,5.68561e-05,-3.33699e-07,-0.00143538,8.68549e-05,0.00373517,0.000616536,0.00245165,-2.70474e-05,-0.0291405,0.00612756,0.0708794,0.0183104,0.669639,0.623088,0.65552,0.636251,0,0
0.081,5.93419e-05,-3.61548e-07,-0.00146457,8.99399e-05,0.00377007,0.000625659,0.00251991,-2.86605e-05,-0.0292433,0.00616207,0.0687411,0.0182145,0.670017,0.623454,0.655891,0.636602,0,0
0.082,6.18962e-05,-3.91039e-07,-0.00149386,9.30411e-05,0.00380391,0.000634734,0.00258875,-3.03304e-05,-0.0293404,0.00619055,0.066611,0.0181188,0.670384,0.623823,0.656257,0.636951,0,0
0.083,6.45196e-05,-4.22228e-07,-0.00152325,9.61556e-05,0.00383669,0.000643761,0.00265817,-3.20574e-05,-0.0294319,0.00621297,0.0644914,0.0180235,0.670741,0.624195,0.656616,0.637298,0,0
